SeuqneceID,Clade,Type
TB-333-1815-19_S124,Beijing_2,MDR
TB-DNA0339_S196,Beijing_2,MDR
TB-444-4548-18_S103,Beijing_2,MDR
TB-444-2672-18_S124,Beijing_2,MDR
TB-444-3672-18_S164,Beijing_2,MDR
TB-111-7045-18_S22,Beijing_2,MDR
TB-111-6770-19_S99,Beijing_2,MDR
TB-111-15845-18-138_S119,Beijing_2,MDR
TB-MoldovaSeq-DNA0245-3474_S55,Beijing_2,MDR
TB-111-20450-18_S44,Beijing_2,MDR
TB-111-20738-18_S41,Beijing_2,MDR
TB-222-5154-19_S264,Beijing_2,MDR
TB-111-4661-19_S67,Beijing_2,MDR
TB-MoldovaSeq-DNA133-1060_S134,Beijing_2,MDR
TB-111-17545-19_S119,Beijing_2,MDR
TB-DNA0342_S199,Beijing_2,MDR
TB-444-5769-18_S62,Beijing_2,MDR
TB-444-6669-18_S126,Beijing_2,MDR
TB-444-4731-18_S37,Beijing_2,MDR
TB-444-5310-18_S97,Beijing_2,MDR
TB-444-2543-18_S27,Beijing_2,MDR
TB-111-17253-18-138_S24,Beijing_2,MDR
TB-111-2904-19_S227,Beijing_2,MDR
TB-111-6423-19_S203,Beijing_2,MDR
TB-111-15653-19_S42,Beijing_2,MDR
TB-111-18405-19_S30,Beijing_2,MDR
TB-444-3342-18_S202,Beijing_2,MDR
TB-MoldovaSeq-DNA011-125_S11,Beijing_2,MDR
TB-111-19502-19_S136,Beijing_2,MDR
TB-333-5441-19_S70,Beijing_2,MDR
TB-111-19049-19_S67,Beijing_2,MDR
TB-222-365-18_S83,Beijing_2,MDR
TB-222-5548-18_S142,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA113-1435_S114,Beijing_2,Non-MDR
TB-444-6404-18_S178,Beijing_2,MDR
TB-MoldovaSeq-DNA039-365_S39,Beijing_2,MDR
TB-MoldovaSeq-DNA0193-2589_S3,Beijing_2,MDR
TB-MoldovaSeq-DNA058-486_S58,Beijing_2,MDR
TB-MoldovaSeq-DNA118-1170_S119,Beijing_2,MDR
TB-444-4380-18_S106,Beijing_2,MDR
TB-444-4911-19_S47,Beijing_2,MDR
TB-MoldovaSeq-DNA036-246_S36,Beijing_2,MDR
TB-444-5657-18_S60,Beijing_2,MDR
TB-MoldovaSeq-DNA051-393_S51,Beijing_2,MDR
TB-111-2691-19_S272,Beijing_2,MDR
TB-MoldovaSeq-DNA189-3008_S190,Beijing_2,MDR
TB-MoldovaSeq-DNA083-764_S83,Beijing_2,MDR
TB-MoldovaSeq-DNA089-788_S89,Beijing_2,MDR
TB-444-2692-18_S194,Beijing_2,MDR
TB-MoldovaSeq-DNA151-1366_S152,Beijing_2,MDR
TB-MoldovaSeq-DNA017-15_S17,Beijing_2,MDR
TB-MoldovaSeq-DNA173-2332_S174,Beijing_2,MDR
TB-MoldovaSeq-DNA188-2947_S189,Beijing_2,MDR
TB-MoldovaSeq-DNA075-525_S75,Beijing_2,MDR
TB-MoldovaSeq-DNA169-2297_S170,Beijing_2,MDR
TB-444-2673-18_S197,Beijing_2,MDR
TB-444-2866-19_S6,Beijing_2,MDR
TB-444-6160-18_S125,Beijing_2,MDR
TB-444-6581-18_S33,Beijing_2,MDR
TB-111-876-19_S127,Beijing_2,MDR
TB-MoldovaSeq-DNA167-2578_S168,Beijing_2,MDR
TB-444-4848-18_S25,Beijing_2,MDR
TB-MoldovaSeq-DNA156-1096_S157,Beijing_2,MDR
TB-444-4887-19_S53,Beijing_2,MDR
TB-MoldovaSeq-DNA140-1558_S141,Beijing_2,MDR
TB-444-2281-18_S14,Beijing_2,MDR
TB-444-3830-18_S130,Beijing_2,MDR
TB-444-5477-19_S54,Beijing_2,MDR
TB-444-4756-19_S85,Beijing_2,MDR
TB-444-4827-19_S49,Beijing_2,MDR
TB-444-4396-18_S108,Beijing_2,MDR
TB-MoldovaSeq-DNA132-1515_S133,Beijing_2,MDR
TB-MoldovaSeq-DNA179-2174_S180,Beijing_2,MDR
TB-444-3932-18_S105,Beijing_2,MDR
TB-444-5116-18_S36,Beijing_2,MDR
TB-111-12608-18_S92,Beijing_2,MDR
TB-333-3591-19_S62,Beijing_2,MDR
TB-333-420-19_S43,Beijing_2,MDR
TB-111-8545-19-138_S85,Beijing_2,MDR
TB-111-19142-19_S123,Beijing_2,Non-MDR
TB-111-20011-18_S32,Beijing_2,MDR
TB-111-16720-19_S134,Beijing_2,MDR
TB-333-2175-19_S94,Beijing_2,MDR
TB-MoldovaSeq-DNA084-778_S84,Beijing_2,MDR
TB-111-4797-19_S270,Beijing_2,Non-MDR
TB-111-4798-19_S241,Beijing_2,MDR
TB-111-19883-19_S86,Beijing_2,MDR
TB-111-15693-19_S51,Beijing_2,MDR
TB-111-18194-18_S121,Beijing_2,MDR
TB-111-8671-19_S53,Beijing_2,MDR
TB-MoldovaSeq-DNA0297-3404_S300,Beijing_2,MDR
TB-111-13214-18_S115,Beijing_2,MDR
TB-222-6357-19_S283,Beijing_2,MDR
TB-111-18503-18-138_S52,Beijing_2,MDR
TB-111-20107-18_S31,Beijing_2,MDR
TB-111-3308-19_S120,Beijing_2,MDR
TB-MoldovaSeq-DNA0235-4740_S45,Beijing_2,Non-MDR
TB-111-18302-18_S155,Beijing_2,Non-MDR
TB-111-7275-18_S169,Beijing_2,Non-MDR
TB-111-19687-18_S122,Beijing_2,MDR
TB-111-12708-19_S244,Beijing_2,Non-MDR
TB-111-15323-18_S157,Beijing_2,MDR
TB-111-16380-19_S75,Beijing_2,Non-MDR
TB-111-17590-19_S284,Beijing_2,Non-MDR
TB-222-5351-18_S56,Beijing_2,Non-MDR
TB-222-1360-19-138_S2,Beijing_2,Non-MDR
TB-222-287-19_S199,Beijing_2,Non-MDR
TB-333-339-19_S49,Beijing_2,Non-MDR
TB-222-1706-18_S90,Beijing_2,Non-MDR
TB-111-1701-19_S144,Beijing_2,Non-MDR
TB-222-4791-18_S271,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA019-60_S19,Beijing_2,MDR
TB-MoldovaSeq-DNA030-61_S30,Beijing_2,MDR
TB-111-20151-19_S135,Beijing_2,MDR
TB-111-15583-19_S278,Beijing_2,MDR
TB-111-9083-18_S82,Beijing_2,MDR
TB-444-2225-18_S25,Beijing_2,MDR
TB-MoldovaSeq-DNA108-255_S109,Beijing_2,MDR
TB-111-12506-19_S180,Beijing_2,MDR
TB-111-3207-19_S75,Beijing_2,MDR
TB-MoldovaSeq-DNA0272-3051_S82,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA025-11_S25,Beijing_2,MDR
TB-MoldovaSeq-DNA0284-4250_S94,Beijing_2,Non-MDR
TB-222-6743-19_S139,Beijing_2,Non-MDR
TB-111-14875-19_S107,Beijing_2,MDR
TB-111-720-19_S257,Beijing_2,Non-MDR
