SeuqenceID,Lineage,Sublineage ,Type,LBI_value
TB-333-1815-19_S124,Lineage2,beijing,MDR,0.030626608
TB-DNA0339_S196,Lineage2,beijing,MDR,0.027277963
TB-444-4548-18_S103,Lineage2,beijing,MDR,0.02673426
TB-444-2672-18_S124,Lineage2,beijing,MDR,0.026732087
TB-444-3672-18_S164,Lineage2,beijing,MDR,0.026732087
TB-111-7045-18_S22,Lineage2,beijing,MDR,0.026354983
TB-111-6770-19_S99,Lineage2,beijing,MDR,0.025358474
TB-111-15845-18-138_S119,Lineage2,beijing,MDR,0.028488877
TB-MoldovaSeq-DNA0245-3474_S55,Lineage2,beijing,MDR,0.027399666
TB-111-20450-18_S44,Lineage2,beijing,MDR,0.025345966
TB-111-20738-18_S41,Lineage2,beijing,MDR,0.02583659
TB-222-5154-19_S264,Lineage2,beijing,MDR,0.029023664
TB-111-4661-19_S67,Lineage2,beijing,MDR,0.024369537
TB-MoldovaSeq-DNA133-1060_S134,Lineage2,beijing,MDR,0.028430577
TB-111-17545-19_S119,Lineage2,beijing,MDR,0.027356625
TB-DNA0342_S199,Lineage2,beijing,MDR,0.027356625
TB-444-5769-18_S62,Lineage2,beijing,MDR,0.027974663
TB-444-6669-18_S126,Lineage2,beijing,MDR,0.023983611
TB-444-4731-18_S37,Lineage2,beijing,MDR,0.029281602
TB-444-5310-18_S97,Lineage2,beijing,MDR,0.027982544
TB-444-2543-18_S27,Lineage2,beijing,MDR,0.024917955
TB-111-17253-18-138_S24,Lineage2,beijing,MDR,0.024900006
TB-111-2904-19_S227,Lineage2,beijing,MDR,0.029649612
TB-111-6423-19_S203,Lineage2,beijing,MDR,0.026917818
TB-111-15653-19_S42,Lineage2,beijing,MDR,0.025364866
TB-111-18405-19_S30,Lineage2,beijing,MDR,0.025364866
TB-444-3342-18_S202,Lineage2,beijing,MDR,0.02689665
TB-MoldovaSeq-DNA011-125_S11,Lineage2,beijing,MDR,0.027419111
TB-111-19502-19_S136,Lineage2,beijing,MDR,0.027964801
TB-333-5441-19_S70,Lineage2,beijing,MDR,0.026388041
TB-111-19049-19_S67,Lineage2,beijing,MDR,0.027421279
TB-222-365-18_S83,Lineage2,beijing,MDR,0.027957005
TB-222-5548-18_S142,Lineage2,beijing,Non-MDR,0.028691305
TB-MoldovaSeq-DNA113-1435_S114,Lineage2,beijing,Non-MDR,0.029673892
TB-444-6404-18_S178,Lineage2,beijing,MDR,0.025731619
TB-MoldovaSeq-DNA039-365_S39,Lineage2,beijing,MDR,0.026233297
TB-MoldovaSeq-DNA0193-2589_S3,Lineage2,beijing,MDR,0.024753266
TB-MoldovaSeq-DNA058-486_S58,Lineage2,beijing,MDR,0.025859391
TB-MoldovaSeq-DNA118-1170_S119,Lineage2,beijing,MDR,0.027404275
TB-444-4380-18_S106,Lineage2,beijing,MDR,0.025854601
TB-444-4911-19_S47,Lineage2,beijing,MDR,0.025365175
TB-MoldovaSeq-DNA036-246_S36,Lineage2,beijing,MDR,0.026875768
TB-444-5657-18_S60,Lineage2,beijing,MDR,0.02740088
TB-MoldovaSeq-DNA051-393_S51,Lineage2,beijing,MDR,0.029620598
TB-111-2691-19_S272,Lineage2,beijing,MDR,0.026299518
TB-MoldovaSeq-DNA189-3008_S190,Lineage2,beijing,MDR,0.027145632
TB-MoldovaSeq-DNA083-764_S83,Lineage2,beijing,MDR,0.025422795
TB-MoldovaSeq-DNA089-788_S89,Lineage2,beijing,MDR,0.024853443
TB-444-2692-18_S194,Lineage2,beijing,MDR,0.022547103
TB-MoldovaSeq-DNA151-1366_S152,Lineage2,beijing,MDR,0.022547103
TB-MoldovaSeq-DNA017-15_S17,Lineage2,beijing,MDR,0.027877882
TB-MoldovaSeq-DNA173-2332_S174,Lineage2,beijing,MDR,0.02681176
TB-MoldovaSeq-DNA188-2947_S189,Lineage2,beijing,MDR,0.027317466
TB-MoldovaSeq-DNA075-525_S75,Lineage2,beijing,MDR,0.027400334
TB-MoldovaSeq-DNA169-2297_S170,Lineage2,beijing,MDR,0.025855674
TB-444-2673-18_S197,Lineage2,beijing,MDR,0.026359723
TB-444-2866-19_S6,Lineage2,beijing,MDR,0.025365558
TB-444-6160-18_S125,Lineage2,beijing,MDR,0.026368403
TB-444-6581-18_S33,Lineage2,beijing,MDR,0.026885808
TB-111-876-19_S127,Lineage2,beijing,MDR,0.025871239
TB-MoldovaSeq-DNA167-2578_S168,Lineage2,beijing,MDR,0.025871239
TB-444-4848-18_S25,Lineage2,beijing,MDR,0.025873297
TB-MoldovaSeq-DNA156-1096_S157,Lineage2,beijing,MDR,0.028507162
TB-444-4887-19_S53,Lineage2,beijing,MDR,0.027421111
TB-MoldovaSeq-DNA140-1558_S141,Lineage2,beijing,MDR,0.026895045
TB-444-2281-18_S14,Lineage2,beijing,MDR,0.02687407
TB-444-3830-18_S130,Lineage2,beijing,MDR,0.025778558
TB-444-5477-19_S54,Lineage2,beijing,MDR,0.025764473
TB-444-4756-19_S85,Lineage2,beijing,MDR,0.025680954
TB-444-4827-19_S49,Lineage2,beijing,MDR,0.025287549
TB-444-4396-18_S108,Lineage2,beijing,MDR,0.025776532
TB-MoldovaSeq-DNA132-1515_S133,Lineage2,beijing,MDR,0.027309754
TB-MoldovaSeq-DNA179-2174_S180,Lineage2,beijing,MDR,0.025287018
TB-444-3932-18_S105,Lineage2,beijing,MDR,0.029732566
TB-444-5116-18_S36,Lineage2,beijing,MDR,0.025774481
TB-111-12608-18_S92,Lineage2,beijing,MDR,0.026705924
TB-333-3591-19_S62,Lineage2,beijing,MDR,0.028309282
TB-333-420-19_S43,Lineage2,beijing,MDR,0.027031151
TB-111-8545-19-138_S85,Lineage2,beijing,MDR,0.028279587
TB-111-19142-19_S123,Lineage2,beijing,Non-MDR,0.023081463
TB-111-20011-18_S32,Lineage2,beijing,MDR,0.020035461
TB-111-16720-19_S134,Lineage2,beijing,MDR,0.02390326
TB-333-2175-19_S94,Lineage2,beijing,MDR,0.023750623
TB-MoldovaSeq-DNA084-778_S84,Lineage2,beijing,MDR,0.020866916
TB-111-4797-19_S270,Lineage2,beijing,Non-MDR,0.013078255
TB-111-4798-19_S241,Lineage2,beijing,MDR,0.023851093
TB-111-19883-19_S86,Lineage2,beijing,MDR,0.022564025
TB-111-15693-19_S51,Lineage2,beijing,MDR,0.024544457
TB-111-18194-18_S121,Lineage2,beijing,MDR,0.024544457
TB-111-8671-19_S53,Lineage2,beijing,MDR,0.025029655
TB-MoldovaSeq-DNA0297-3404_S300,Lineage2,beijing,MDR,0.025027624
TB-111-13214-18_S115,Lineage2,beijing,MDR,0.026023958
TB-222-6357-19_S283,Lineage2,beijing,MDR,0.025043896
TB-111-18503-18-138_S52,Lineage2,beijing,MDR,0.025043896
TB-111-20107-18_S31,Lineage2,beijing,MDR,0.025416703
TB-111-3308-19_S120,Lineage2,beijing,MDR,0.024268124
TB-MoldovaSeq-DNA0235-4740_S45,Lineage2,beijing,Non-MDR,0.029760089
TB-111-18302-18_S155,Lineage2,beijing,Non-MDR,0.026031399
TB-111-7275-18_S169,Lineage2,beijing,Non-MDR,0.028115901
TB-111-19687-18_S122,Lineage2,beijing,MDR,0.028665316
TB-111-12708-19_S244,Lineage2,beijing,Non-MDR,0.027477981
TB-111-15323-18_S157,Lineage2,beijing,MDR,0.021322
TB-111-16380-19_S75,Lineage2,beijing,Non-MDR,0.0253092
TB-111-17590-19_S284,Lineage2,beijing,Non-MDR,0.026293336
TB-222-5351-18_S56,Lineage2,beijing,Non-MDR,0.018470804
TB-222-1360-19-138_S2,Lineage2,beijing,Non-MDR,0.019525498
TB-222-287-19_S199,Lineage2,beijing,Non-MDR,0.019878615
TB-333-339-19_S49,Lineage2,beijing,Non-MDR,0.019138343
TB-222-1706-18_S90,Lineage2,beijing,Non-MDR,0.028952379
TB-111-1701-19_S144,Lineage2,beijing,Non-MDR,0.013012275
TB-222-4791-18_S271,Lineage2,beijing,Non-MDR,0.012134749
TB-MoldovaSeq-DNA019-60_S19,Lineage2,beijing,MDR,0.013933776
TB-MoldovaSeq-DNA030-61_S30,Lineage2,beijing,MDR,0.012419193
