"Tip","Location","MDRstatus"
"ERR11003794","Georgia","MDR"
"ERR11243464","Georgia","non-MDR"
"ERR11243472","Georgia","non-MDR"
"ERR11243485","Georgia","non-MDR"
"ERR11243491","Georgia","non-MDR"
"ERR11243502","Georgia","non-MDR"
"ERR11243506","Georgia","non-MDR"
"ERR11243511","Georgia","non-MDR"
"ERR11243514","Georgia","non-MDR"
"ERR11243515","Georgia","non-MDR"
"ERR11243519","Georgia","non-MDR"
"ERR11243582","Georgia","MDR"
"ERR11243589","Georgia","non-MDR"
"ERR11243596","Georgia","non-MDR"
"ERR11243617","Georgia","non-MDR"
"ERR11243631","Georgia","non-MDR"
"ERR11243638","Georgia","non-MDR"
"ERR11243667","Georgia","non-MDR"
"ERR11243691","Georgia","non-MDR"
"ERR11243692","Georgia","non-MDR"
"ERR11243711","Georgia","non-MDR"
"ERR11243731","Georgia","non-MDR"
"ERR11243749","Georgia","non-MDR"
"ERR11243755","Georgia","non-MDR"
"ERR11243768","Georgia","non-MDR"
"ERR11243772","Georgia","non-MDR"
"ERR11243782","Georgia","non-MDR"
"ERR11243792","Georgia","non-MDR"
"ERR11243793","Georgia","non-MDR"
"ERR11243794","Georgia","non-MDR"
"ERR11243814","Georgia","non-MDR"
"ERR11243818","Georgia","non-MDR"
"ERR11243819","Georgia","non-MDR"
"ERR11243833","Georgia","non-MDR"
"ERR11243834","Georgia","non-MDR"
"ERR11243835","Georgia","non-MDR"
"ERR11243836","Georgia","non-MDR"
"ERR11243837","Georgia","non-MDR"
"ERR11243872","Georgia","non-MDR"
"ERR11243875","Georgia","non-MDR"
"ERR11243917","Georgia","non-MDR"
"ERR11243927","Georgia","non-MDR"
"ERR11243962","Georgia","non-MDR"
"ERR11243967","Georgia","non-MDR"
"ERR11243969","Georgia","non-MDR"
"ERR11243970","Georgia","non-MDR"
"ERR11243975","Georgia","non-MDR"
"ERR11243982","Georgia","non-MDR"
"ERR11244008","Georgia","non-MDR"
"ERR11244009","Georgia","non-MDR"
"ERR11244010","Georgia","non-MDR"
"ERR11244014","Georgia","non-MDR"
"ERR11244017","Georgia","non-MDR"
"ERR11244020","Georgia","non-MDR"
"ERR11244028","Georgia","non-MDR"
"ERR11244053","Georgia","non-MDR"
"ERR11244060","Georgia","non-MDR"
"ERR11244063","Georgia","non-MDR"
"ERR11244064","Georgia","non-MDR"
"ERR11244098","Georgia","non-MDR"
"ERR11244101","Georgia","non-MDR"
"ERR11244103","Georgia","non-MDR"
"ERR11244104","Georgia","non-MDR"
"ERR11244105","Georgia","non-MDR"
"ERR11244109","Georgia","non-MDR"
"ERR11244113","Georgia","non-MDR"
"ERR11244114","Georgia","non-MDR"
"ERR11244115","Georgia","non-MDR"
"ERR11244117","Georgia","non-MDR"
"ERR11244122","Georgia","non-MDR"
"ERR11244124","Georgia","non-MDR"
"ERR11244167","Georgia","non-MDR"
"ERR11244168","Georgia","non-MDR"
"ERR11244169","Georgia","non-MDR"
"ERR11244170","Georgia","non-MDR"
"ERR11244176","Georgia","non-MDR"
"ERR11244177","Georgia","non-MDR"
"ERR11244178","Georgia","non-MDR"
"ERR11244187","Georgia","non-MDR"
"ERR11244191","Georgia","non-MDR"
"ERR11244221","Georgia","non-MDR"
"ERR11244223","Georgia","non-MDR"
"ERR11244224","Georgia","non-MDR"
"ERR11244229","Georgia","non-MDR"
"ERR11244231","Georgia","non-MDR"
"ERR11244232","Georgia","non-MDR"
"ERR11244234","Georgia","non-MDR"
"ERR11244235","Georgia","non-MDR"
