SequenceID,Type,Clade
TB-111-164-18-138_S168,MDR,Ural_26
TB-222-18-19_S24,Non-MDR,Ural_17
TB-333-39-19_S120,MDR,Ural_26
TB-111-249-18_S235,MDR,Ural_26
TB-111-52-18_S277,MDR,Ural_26
TB-111-188-18-138_S147,Non-MDR,Ural_31
TB-111-238-18_S242,Non-MDR,Ural_17
TB-111-280-18-138_S144,MDR,Ural_26
TB-111-23689-18F-138_S62,MDR,Ural_26
TB-MoldovaSeq-DNA028-38_S28,MDR,Ural_26
TB-333-164-19_S95,MDR,Ural_26
TB-333-90-19_S1,MDR,Ural_26
TB-MoldovaSeq-DNA033-78_S33,MDR,Ural_26
TB-MoldovaSeq-DNA105-73_S106,MDR,Ural_26
TB-222-318-18_S58,MDR,Ural_26
TB-MoldovaSeq-DNA010-142_S10,MDR,Ural_26
TB-222-182-19_S200,Non-MDR,Ural_17
TB-111-1096-18-138_S163,MDR,Ural_26
TB-MoldovaSeq-DNA081-244_S81,MDR,Ural_26
TB-333-293-19_S130,MDR,Ural_26
TB-111-24233-18F_S232,MDR,Ural_26
TB-333-510-19_S119,MDR,Ural_26
TB-222-517-18_S216,Non-MDR,Ural_17
TB-111-903-19_S92,Non-MDR,Ural_31
TB-MoldovaSeq-DNA037-350_S37,MDR,Ural_26
TB-MoldovaSeq-DNA095-339_S95,MDR,Ural_26
TB-111-1249-19-138_S41,Non-MDR,Ural_31
TB-111-1266-19-138_S39,Non-MDR,Ural_31
TB-222-591-19-138_S1,MDR,Ural_26
TB-MoldovaSeq-DNA043-429_S43,MDR,Ural_26
TB-MoldovaSeq-DNA065-421_S65,MDR,Ural_26
TB-111-1233-19-138_S40,Non-MDR,Ural_31
TB-111-1299-19_S97,Non-MDR,Ural_26
TB-444-463-19_S68,MDR,Ural_26
TB-111-1328-19-138_S82,Non-MDR,Ural_31
TB-111-1672-18-138_S166,Non-MDR,Ural_31
TB-MoldovaSeq-DNA005-516_S5,MDR,Ural_26
TB-333-765-19_S199,MDR,Ural_26
TB-333-964-19_S41,Non-MDR,Ural_31
TB-111-1793-18_S286,Non-MDR,Ural_31
TB-MoldovaSeq-DNA0242-1981_S52,MDR,Ural_26
TB-MoldovaSeq-DNA092-547_S92,MDR,Ural_26
TB-MoldovaSeq-DNA045-570_S45,MDR,Ural_26
TB-111-1844-19_S18,MDR,Ural_26
TB-222-644-18_S138,Non-MDR,Ural_31
TB-MoldovaSeq-DNA0199-2025_S9,Non-MDR,Ural_31
TB-MoldovaSeq-DNA0197-2109_S7,Non-MDR,Ural_31
TB-MoldovaSeq-DNA0213-2033_S23,MDR,Ural_26
TB-MoldovaSeq-DNA090-620_S90,MDR,Ural_26
TB-DNA0347_S204,Non-MDR,Ural_17
TB-MoldovaSeq-DNA068-653_S68,MDR,Ural_26
TB-111-2220-19_S83,MDR,Ural_26
TB-222-858-19_S213,MDR,Ural_26
TB-111-2577-18_S150,MDR,Ural_26
TB-333-1163-19_S75,MDR,Ural_26
TB-333-1248-19_S93,MDR,Ural_26
TB-111-2565-18_S6,MDR,Ural_26
TB-DNA0368_S225,MDR,Ural_26
TB-MoldovaSeq-DNA077-757_S77,MDR,Ural_26
TB-222-965-19_S6,MDR,Ural_26
TB-DNA0356_S213,Non-MDR,Ural_31
TB-MoldovaSeq-DNA0210-2128_S20,MDR,Ural_26
TB-MoldovaSeq-DNA086-784_S86,MDR,Ural_26
TB-DNA0373_S230,MDR,Ural_26
TB-MoldovaSeq-DNA142-807_S143,MDR,Ural_26
TB-DNA0357_S214,Non-MDR,Ural_26
TB-111-2754-19_S7,Non-MDR,Ural_17
TB-MoldovaSeq-DNA0211-2993_S21,MDR,Ural_26
TB-MoldovaSeq-DNA0266-3138_S76,Non-MDR,Ural_31
TB-333-1585-19_S123,MDR,Ural_26
TB-MoldovaSeq-DNA0253-3126_S63,Non-MDR,Ural_26
TB-MoldovaSeq-DNA093-887_S93,MDR,Ural_26
TB-111-2895-19_S119,Non-MDR,Ural_31
TB-MoldovaSeq-DNA0276-3306_S86,Non-MDR,Ural_31
TB-MoldovaSeq-DNA0293-3261_S296,Non-MDR,Ural_26
TB-MoldovaSeq-DNA0310-3312_S313,Non-MDR,Ural_31
TB-111-3412-18_S152,MDR,Ural_26
TB-111-3235-19_S113,Non-MDR,Ural_31
TB-333-1556-19_S126,MDR,Ural_26
TB-222-1054-18-138_S135,MDR,Ural_26
TB-111-3644-19_S20,MDR,Ural_26
TB-333-1864-19_S91,Non-MDR,Ural_31
TB-MoldovaSeq-DNA082-1082_S82,MDR,Ural_26
TB-MoldovaSeq-DNA087-1084_S87,MDR,Ural_26
TB-333-1750-19_S182,MDR,Ural_26
TB-333-1865-19_S52,Non-MDR,Ural_17
TB-333-1786-19_S178,MDR,Ural_26
TB-111-7925-18_S19,MDR,Ural_26
TB-111-7932-18_S25,MDR,Ural_26
TB-111-7933-18_S24,MDR,Ural_26
TB-222-1414-18_S109,MDR,Ural_26
TB-MoldovaSeq-DNA0286-4470_S289,Non-MDR,Ural_31
TB-333-1981-19_S52,MDR,Ural_26
TB-MoldovaSeq-DNA0215-4211_S25,Non-MDR,Ural_31
TB-333-1983-19_S47,Non-MDR,Ural_31
TB-111-4167-19_S189,Non-MDR,Ural_31
TB-333-2259-19_S3,MDR,Ural_26
TB-DNA0362_S219,MDR,Ural_26
TB-333-2093-19_S34,Non-MDR,Ural_17
TB-MoldovaSeq-DNA0219-4548_S29,MDR,Ural_26
TB-MoldovaSeq-DNA0294-4695_S297,MDR,Ural_26
TB-111-4466-19_S239,MDR,Ural_26
TB-DNA0375_S232,Non-MDR,Ural_31
TB-333-2152-19_S29,MDR,Ural_26
TB-333-2178-19_S37,MDR,Ural_26
