Clade,Time,2.50%,50%,97.50%
Ural_17,1940.047968,5.32E-06,0.001581482,13516.68015
Ural_17,1941.647008,1.27E-05,0.001968368,5000.600841
Ural_17,1943.246049,1.91E-05,0.002525591,2531.682618
Ural_17,1944.845089,2.61E-05,0.003209272,1358.889866
Ural_17,1946.44413,3.97E-05,0.005152603,652.7404151
Ural_17,1948.043171,4.96E-05,0.008045806,436.0351952
Ural_17,1949.642211,5.56E-05,0.011451344,253.3471058
Ural_17,1951.241252,5.95E-05,0.017131237,126.1019015
Ural_17,1952.840293,7.73E-05,0.027372687,68.4520883
Ural_17,1954.439333,9.51E-05,0.045468042,35.89436484
Ural_17,1956.038374,0.000143877,0.072483035,12.5813879
Ural_17,1957.637415,0.000231765,0.107340105,8.146637846
Ural_17,1959.236455,0.000360013,0.125767525,8.312480954
Ural_17,1960.835496,0.000592137,0.148365884,6.864347137
Ural_17,1962.434537,0.001141052,0.15546149,6.167571706
Ural_17,1964.033577,0.002205648,0.156093972,6.694988904
Ural_17,1965.632618,0.004177551,0.19039758,8.601281461
Ural_17,1967.231659,0.007227081,0.242205668,8.653710801
Ural_17,1968.830699,0.009771734,0.304871551,9.324982242
Ural_17,1970.42974,0.009944292,0.332641042,11.25271412
Ural_17,1972.028781,0.006958949,0.302705884,14.55645156
Ural_17,1973.627821,0.006144064,0.297477702,19.64417116
Ural_17,1975.226862,0.007085956,0.31493001,23.20900321
Ural_17,1976.825902,0.007467865,0.322177466,28.90410369
Ural_17,1978.424943,0.007999314,0.321086681,34.03229744
Ural_17,1980.023984,0.012892418,0.327505735,37.20450517
Ural_17,1981.623024,0.018318557,0.342901093,42.9988576
Ural_17,1983.222065,0.027098069,0.373758093,44.06362645
Ural_17,1984.821106,0.044188494,0.434080816,41.55995138
Ural_17,1986.420146,0.062939089,0.517111162,39.44575965
Ural_17,1988.019187,0.082802333,0.667489791,31.94200966
Ural_17,1989.618228,0.121240765,0.894707253,26.18257231
Ural_17,1991.217268,0.185144009,1.237613478,20.33071546
Ural_17,1992.816309,0.369429279,1.783788613,17.04464565
Ural_17,1994.41535,0.749278764,2.746521117,15.38561382
Ural_17,1996.01439,1.612150015,4.661457058,17.02617591
Ural_17,1997.613431,3.819355295,8.439706485,21.62201134
Ural_17,1999.212472,8.556908093,16.54714467,32.96339991
Ural_17,2000.811512,20.3266787,34.40949161,62.59854598
Ural_17,2002.410553,44.70187274,73.12563585,135.4265556
Ural_17,2004.009594,88.6920579,143.7946734,306.0284241
Ural_17,2005.608634,118.0091559,235.6458831,670.7136235
Ural_17,2007.207675,119.782593,326.976209,1310.144643
Ural_17,2008.806715,97.68552194,362.2377038,1905.23468
Ural_17,2010.405756,81.6378049,334.8637104,1774.277974
Ural_17,2012.004797,76.50595456,273.3799407,1306.911423
Ural_17,2013.603837,74.07713935,201.5857227,715.9825343
Ural_17,2015.202878,71.38995335,163.3045529,560.1091438
Ural_17,2016.801919,45.40404356,126.0593551,531.2886047
Ural_17,2018.400959,22.21024854,102.3761446,638.0639347
Ural_26,1954.987026,8.702251093,109.0806609,300781.2321
Ural_26,1956.287286,12.58971194,91.30177681,47102.62527
Ural_26,1957.587545,13.68418005,78.51907939,15744.28492
Ural_26,1958.887804,14.00242247,67.08208971,6077.551313
Ural_26,1960.188064,16.2023733,62.32701596,2500.593229
Ural_26,1961.488323,16.7038581,56.36498982,1233.58436
Ural_26,1962.788583,16.00800622,50.27343419,579.0672024
Ural_26,1964.088842,14.97766973,44.91037945,340.7967554
Ural_26,1965.389102,12.96378414,42.45337704,196.5780769
Ural_26,1966.689361,11.03023836,38.20506798,135.1856226
Ural_26,1967.989621,8.590746482,33.41151351,108.7063264
Ural_26,1969.28988,6.562833126,29.52973773,100.4197612
Ural_26,1970.59014,5.307088625,25.24932444,97.29464645
Ural_26,1971.890399,4.702169186,22.05818107,98.87940512
Ural_26,1973.190659,4.103435009,20.18276987,86.52528077
Ural_26,1974.490918,3.832716671,17.83425679,81.24438648
Ural_26,1975.791178,3.87270883,16.2406369,67.24799948
Ural_26,1977.091437,4.386731351,14.82533757,50.79241957
Ural_26,1978.391697,4.797784218,13.75752569,41.36585615
Ural_26,1979.691956,5.195867464,13.8351966,34.99943093
Ural_26,1980.992216,6.298984691,14.66976608,33.20198982
Ural_26,1982.292475,8.208093995,16.44591806,30.89224134
Ural_26,1983.592735,11.1147701,19.78890309,34.65601582
Ural_26,1984.892994,15.17357824,24.68575849,41.74303214
Ural_26,1986.193254,19.57679867,31.89654426,50.69864757
Ural_26,1987.493513,25.83004178,41.07696437,68.43867556
Ural_26,1988.793772,32.95439195,51.05829766,89.97480598
Ural_26,1990.094032,40.36459413,61.81975256,103.0036832
Ural_26,1991.394291,49.51908012,73.67984165,116.8555809
Ural_26,1992.694551,58.78475212,84.68723719,124.4562787
Ural_26,1993.99481,68.30316895,97.46059375,142.5545338
Ural_26,1995.29507,82.94642084,115.1969107,164.1984103
Ural_26,1996.595329,105.5834531,143.5265615,196.5300644
Ural_26,1997.895589,143.2938303,186.4771095,247.0414158
Ural_26,1999.195848,195.1624686,245.6642741,315.0620551
Ural_26,2000.496108,250.6971217,319.5332589,407.9880469
Ural_26,2001.796367,328.2251753,414.2755869,536.2677358
Ural_26,2003.096627,427.5944647,542.2236234,710.6397412
Ural_26,2004.396886,546.4213164,700.5603061,917.2892997
Ural_26,2005.697146,682.265621,864.0149517,1115.46598
Ural_26,2006.997405,812.7909071,1054.496419,1372.348275
Ural_26,2008.297665,997.0993542,1313.00787,1713.89346
Ural_26,2009.597924,1251.060262,1607.834554,2106.307514
Ural_26,2010.898184,1563.481876,2041.33822,2696.760763
Ural_26,2012.198443,1964.040094,2573.463317,3447.071327
Ural_26,2013.498703,2357.645643,3113.415758,4421.21669
Ural_26,2014.798962,2464.479774,3385.274725,4793.676845
Ural_26,2016.099222,2485.643887,3398.120377,4937.962456
Ural_26,2017.399481,2292.510276,3506.14897,5925.954479
Ural_26,2018.699741,1639.721159,3599.965681,7455.212167
Ural_31,1988.465062,0.962454573,2.573366992,5.865087092
Ural_31,1989.095761,1.383963833,3.404836119,6.69072425
Ural_31,1989.72646,2.066120149,4.484997195,8.015577695
Ural_31,1990.357159,3.049423796,5.950790528,9.82641044
Ural_31,1990.987857,4.413663587,7.823567768,11.91700683
Ural_31,1991.618556,6.282425618,10.31724395,14.88295457
Ural_31,1992.249255,9.186710878,13.5509991,19.03030698
Ural_31,1992.879954,12.70558226,17.62652698,24.43640658
Ural_31,1993.510652,16.78875366,23.23129984,31.82287157
Ural_31,1994.141351,22.34034855,30.44957116,42.01731192
Ural_31,1994.77205,28.84660552,39.48309256,55.75020719
Ural_31,1995.402749,38.03755455,51.6450969,73.21840903
Ural_31,1996.033447,49.45012206,67.02446674,96.67336953
Ural_31,1996.664146,65.41539966,86.08916294,125.3577205
Ural_31,1997.294845,83.82049837,108.2210415,166.8204112
Ural_31,1997.925544,100.361231,133.3801674,218.6678613
Ural_31,1998.556242,121.008976,162.92971,270.4189495
Ural_31,1999.186941,141.2610272,197.1651278,325.3183088
Ural_31,1999.81764,159.6252354,232.2603787,377.117565
Ural_31,2000.448339,180.7161323,267.5118071,426.7692725
Ural_31,2001.079037,200.2088931,303.5846447,473.1633378
Ural_31,2001.709736,221.1761324,338.2817192,523.0368698
Ural_31,2002.340435,233.7631044,372.720452,544.1242418
Ural_31,2002.971134,240.6188243,397.0941386,575.7192741
Ural_31,2003.601832,246.7299516,416.2725915,607.2876301
Ural_31,2004.232531,244.9047217,429.1174548,650.3111527
Ural_31,2004.86323,245.7260639,441.2203642,681.9402988
Ural_31,2005.493929,251.5012258,448.789166,699.2445221
Ural_31,2006.124627,262.3046637,454.227784,717.5481886
Ural_31,2006.755326,273.0688236,463.9576435,748.1723208
Ural_31,2007.386025,276.6369331,465.7950436,783.30587
Ural_31,2008.016724,285.2320656,466.9114041,795.3802043
Ural_31,2008.647422,305.8827034,477.6154001,831.2392292
Ural_31,2009.278121,327.7807385,496.1813324,852.0638768
Ural_31,2009.90882,351.7108416,518.5998933,890.5345952
Ural_31,2010.539519,384.7651174,551.2023097,967.3820017
Ural_31,2011.170217,404.4597456,582.5475567,1077.080599
Ural_31,2011.800916,423.9649837,612.7472313,1143.394162
Ural_31,2012.431615,423.8049264,631.7286016,1134.912052
Ural_31,2013.062314,416.2233257,638.5521255,1098.25561
Ural_31,2013.693012,419.2556926,648.9566253,1063.880645
Ural_31,2014.323711,422.2460309,646.8834837,1044.943887
Ural_31,2014.95441,414.0651108,636.1243246,1001.157876
Ural_31,2015.585109,405.2036842,613.4222305,954.9169036
Ural_31,2016.215807,377.013669,587.7037278,908.4792449
Ural_31,2016.846506,348.2955538,554.972176,877.4809917
Ural_31,2017.477205,307.2286186,518.9098794,895.7487887
Ural_31,2018.107904,264.506182,481.0465563,944.1823718
Ural_31,2018.738602,212.4395068,449.6021042,1031.928191
Ural_31,2019.369301,140.2015533,421.9874415,1151.838979
