"type","R.est"
"MDR Ural",2.57853863368991
"MDR Ural",2.71397832044611
"MDR Ural",2.97104721212553
"MDR Ural",3.696428047316
"MDR Ural",3.14741854737811
"MDR Ural",3.17420744258319
"MDR Ural",2.68121709522763
"MDR Ural",3.01060993289634
"MDR Ural",2.95885001741345
"MDR Ural",2.99768939549563
"MDR Ural",2.88593867824502
"MDR Ural",3.17995845076814
"MDR Ural",3.73549037330334
"MDR Ural",2.87994652347343
"MDR Ural",2.82569935362095
"MDR Ural",2.25743328662346
"MDR Ural",3.00106577596875
"MDR Ural",2.75234340311674
"MDR Ural",2.40214858856774
"MDR Ural",2.41876338493406
"MDR Ural",2.3696099838496
"MDR Ural",2.59837544326982
"MDR Ural",2.01295045313929
"MDR Ural",2.91094182909616
"MDR Ural",2.11496783839257
"MDR Ural",2.83690432195287
"MDR Ural",2.87919476199373
"MDR Ural",2.84196396011545
"MDR Ural",2.79639018264197
"MDR Ural",2.7844920774305
"MDR Ural",2.3328383383676
"MDR Ural",3.31976258158899
"MDR Ural",2.57314379668584
"MDR Ural",2.65301702871776
"MDR Ural",2.41057932827123
"MDR Ural",2.97788097657142
"MDR Ural",3.21618452769476
"MDR Ural",2.66458648380458
"MDR Ural",2.55751406652839
"MDR Ural",2.91344220432827
"MDR Ural",2.68767165858104
"MDR Ural",2.56309153933143
"MDR Ural",2.41237525223108
"MDR Ural",2.50358283262671
"MDR Ural",2.47776337814663
"MDR Ural",2.08858707070798
"MDR Ural",2.34493192210791
"MDR Ural",2.70092631144908
"MDR Ural",2.79827635337886
"MDR Ural",2.77500786239062
"MDR Ural",2.79016248062833
"MDR Ural",2.74206625906732
"MDR Ural",2.75545948788864
"MDR Ural",2.9631675401083
"MDR Ural",2.58682075784637
"MDR Ural",2.58662214293942
"MDR Ural",2.49385380673307
"MDR Ural",2.32462139924762
"MDR Ural",2.45768267484824
"MDR Ural",2.65771819388747
"MDR Ural",2.91187766187317
"MDR Ural",2.9005999813955
"MDR Ural",2.36544757702679
"MDR Ural",1.99649431602316
"MDR Ural",2.42242934648178
"MDR Ural",2.44128939933749
"MDR Ural",2.62830276604002
"MDR Ural",2.19505586617754
"MDR Ural",2.53815723127874
"MDR Ural",2.92890547496563
"MDR Ural",2.76583291514786
"MDR Ural",2.62586881640106
"MDR Ural",2.7004451195705
"MDR Ural",2.75367934741551
"MDR Ural",2.40728878601341
"MDR Ural",2.7123989536378
"MDR Ural",2.84912294494762
"MDR Ural",2.44466842738009
"MDR Ural",3.17748245073755
"MDR Ural",2.60613473522694
"MDR Ural",2.63424537321553
"MDR Ural",3.07553677981207
"MDR Ural",2.82138586921451
"MDR Ural",2.5269383677467
"MDR Ural",2.89793234229292
"MDR Ural",2.60577471207829
"MDR Ural",2.90578183437858
"MDR Ural",2.77649164806073
"MDR Ural",2.86722306986836
"MDR Ural",2.3794607173385
"MDR Ural",2.88722955300642
"MDR Ural",3.03260120756449
"MDR Ural",2.5180972134811
"MDR Ural",2.29301951470478
"MDR Ural",2.85119513501804
"MDR Ural",3.40561392612257
